case,agent,status,pass_,reward,duration_s,cost_usd,tokens,ts,run_dir
abs-module-cache-flags,claude-code,failed,False,0,783,5.6114508,3560747,2026-06-10T19-56-10-149Z,abs-module-cache-flags-claude-code-2026-06-10T19-56-10-149Z-24
abs-module-cache-flags,pi,failed,False,0,324,0.66809,623285,2026-06-10T22-21-16-748Z,abs-module-cache-flags-pi-2026-06-10T22-21-16-748Z-8
bandit-structured-nosec-directives,claude-code,failed,False,0,1050,10.440070499999997,5725034,2026-06-10T18-59-31-410Z,bandit-structured-nosec-directives-claude-code-2026-06-10T18-59-31-410Z-14
bandit-structured-nosec-directives,pi,failed,False,0,1007,5.02261,6264833,2026-06-10T19-03-46-977Z,bandit-structured-nosec-directives-pi-2026-06-10T19-03-46-977Z-15
dasel-html-document-format,claude-code,failed,False,0,571,3.8509653,2667591,2026-06-10T20-15-14-638Z,dasel-html-document-format-claude-code-2026-06-10T20-15-14-638Z-28
dasel-html-document-format,pi,failed,False,0,351,0.7708480000000001,728327,2026-06-10T20-24-45-376Z,dasel-html-document-format-pi-2026-06-10T20-24-45-376Z-29
dateutil-rfc5545-timezone-interop,claude-code,failed,False,0,777,6.806815000000002,2755586,2026-06-10T19-42-44-894Z,dateutil-rfc5545-timezone-interop-claude-code-2026-06-10T19-42-44-894Z-22
dateutil-rfc5545-timezone-interop,pi,failed,False,0,585,1.089609,709379,2026-06-10T19-55-42-180Z,dateutil-rfc5545-timezone-interop-pi-2026-06-10T19-55-42-180Z-23
drizzle-orm-window-function-builders,claude-code,failed,False,0,1087,6.878854799999998,4130132,2026-06-10T18-04-13-548Z,drizzle-orm-window-function-builders-claude-code-2026-06-10T18-04-13-548Z-2
drizzle-orm-window-function-builders,pi,failed,False,0,586,1.972339,1303887,2026-06-10T18-09-26-386Z,drizzle-orm-window-function-builders-pi-2026-06-10T18-09-26-386Z-3
etree-xml-diff-patch,claude-code,passed,True,1,791,5.38789,1150404,2026-06-10T20-56-20-236Z,etree-xml-diff-patch-claude-code-2026-06-10T20-56-20-236Z-1
etree-xml-diff-patch,pi,passed,True,1,1144,4.149305999999999,4315280,2026-06-10T21-28-48-991Z,etree-xml-diff-patch-pi-2026-06-10T21-28-48-991Z-0
expr-try-catch-errors,claude-code,failed,False,0,1418,17.032840000000004,10205355,2026-06-10T20-05-28-496Z,expr-try-catch-errors-claude-code-2026-06-10T20-05-28-496Z-26
expr-try-catch-errors,pi,failed,False,0,1331,11.825883000000003,16859958,2026-06-10T20-09-13-386Z,expr-try-catch-errors-pi-2026-06-10T20-09-13-386Z-27
fastapi-implicit-head-options,claude-code,passed,True,1,1325,12.799513000000001,7281253,2026-06-10T19-20-39-609Z,fastapi-implicit-head-options-claude-code-2026-06-10T19-20-39-609Z-18
fastapi-implicit-head-options,pi,failed,False,0,449,1.499527,1386230,2026-06-10T19-24-16-200Z,fastapi-implicit-head-options-pi-2026-06-10T19-24-16-200Z-19
fd-deterministic-multi-key-sorting,claude-code,failed,False,0,937,8.799222000000002,4620035,2026-06-10T21-09-30-897Z,fd-deterministic-multi-key-sorting-claude-code-2026-06-10T21-09-30-897Z-2
fd-deterministic-multi-key-sorting,pi,failed,False,0,1011,5.079457999999999,5659040,2026-06-10T21-28-48-992Z,fd-deterministic-multi-key-sorting-pi-2026-06-10T21-28-48-992Z-1
happy-dom-abort-pending-body-reads,claude-code,passed,True,1,1051,9.119642899999999,7236108,2026-06-10T18-13-34-805Z,happy-dom-abort-pending-body-reads-claude-code-2026-06-10T18-13-34-805Z-4
happy-dom-abort-pending-body-reads,pi,failed,False,0,127,0.9642240000000002,902184,2026-06-10T18-19-14-303Z,happy-dom-abort-pending-body-reads-pi-2026-06-10T18-19-14-303Z-5
helm-array-merge-strategies,claude-code,failed,False,0,1396,12.0361372,7478050,2026-06-10T20-56-20-236Z,helm-array-merge-strategies-claude-code-2026-06-10T20-56-20-236Z-0
helm-array-merge-strategies,pi,failed,False,0,330,1.509209,1118446,2026-06-10T20-37-52-937Z,helm-array-merge-strategies-pi-2026-06-10T20-37-52-937Z-33
httpx-streaming-json-iteration,claude-code,failed,False,0,754,6.246138000000001,2743775,2026-06-10T18-51-12-801Z,httpx-streaming-json-iteration-claude-code-2026-06-10T18-51-12-801Z-12
httpx-streaming-json-iteration,pi,failed,False,0,229,0.506484,246121,2026-06-10T22-14-57-832Z,httpx-streaming-json-iteration-pi-2026-06-10T22-14-57-832Z-5
ofetch-per-origin-circuit-breaker,claude-code,failed,False,0,831,7.0570075,2783270,2026-06-10T18-31-05-863Z,ofetch-per-origin-circuit-breaker-claude-code-2026-06-10T18-31-05-863Z-8
ofetch-per-origin-circuit-breaker,pi,failed,False,0,852,3.1904780000000015,2645071,2026-06-10T22-00-44-926Z,ofetch-per-origin-circuit-breaker-pi-2026-06-10T22-00-44-926Z-4
sqlite-utils-safe-import-checkpoints,claude-code,passed,True,1,1461,16.844401000000005,10758721,2026-06-10T19-31-49-242Z,sqlite-utils-safe-import-checkpoints-claude-code-2026-06-10T19-31-49-242Z-20
sqlite-utils-safe-import-checkpoints,pi,passed,True,1,1077,6.66259,8710417,2026-06-10T22-18-51-214Z,sqlite-utils-safe-import-checkpoints-pi-2026-06-10T22-18-51-214Z-7
superjson-error-stack-serialization,claude-code,failed,False,0,552,3.9752055000000004,1102035,2026-06-10T18-44-56-718Z,superjson-error-stack-serialization-claude-code-2026-06-10T18-44-56-718Z-10
superjson-error-stack-serialization,pi,failed,False,0,202,0.33994800000000003,194361,2026-06-10T18-47-48-166Z,superjson-error-stack-serialization-pi-2026-06-10T18-47-48-166Z-11
termenv-preserve-ansi-resets,claude-code,failed,False,0,526,3.8169874999999993,969319,2026-06-10T20-29-06-829Z,termenv-preserve-ansi-resets-claude-code-2026-06-10T20-29-06-829Z-30
termenv-preserve-ansi-resets,pi,failed,False,0,972,3.485557000000001,2895921,2026-06-10T20-56-21-920Z,termenv-preserve-ansi-resets-pi-2026-06-10T20-56-21-920Z-0
tomlkit-toml-table-converters,claude-code,passed,True,1,785,5.774090499999999,1990892,2026-06-10T19-11-11-506Z,tomlkit-toml-table-converters-claude-code-2026-06-10T19-11-11-506Z-16
tomlkit-toml-table-converters,pi,failed,False,0,358,0.564994,398515,2026-06-10T22-15-16-553Z,tomlkit-toml-table-converters-pi-2026-06-10T22-15-16-553Z-6
ts-pattern-match-each,claude-code,passed,True,1,561,3.938403,1351517,2026-06-10T18-04-13-548Z,ts-pattern-match-each-claude-code-2026-06-10T18-04-13-548Z-0
ts-pattern-match-each,pi,failed,False,0,310,0.555303,298432,2026-06-10T18-04-13-548Z,ts-pattern-match-each-pi-2026-06-10T18-04-13-548Z-1
valibot-recursive-schema-composition,claude-code,failed,False,0,1585,13.599780500000003,6873521,2026-06-10T18-21-23-259Z,valibot-recursive-schema-composition-claude-code-2026-06-10T18-21-23-259Z-6
valibot-recursive-schema-composition,pi,failed,False,0,1641,11.833071,17951423,2026-06-10T21-47-54-042Z,valibot-recursive-schema-composition-pi-2026-06-10T21-47-54-042Z-3
yjs-map-conflict-detection,claude-code,passed,True,1,1263,10.995739500000004,5707998,2026-06-10T21-19-36-547Z,yjs-map-conflict-detection-claude-code-2026-06-10T21-19-36-547Z-3
yjs-map-conflict-detection,pi,passed,True,1,902,5.345704999999997,6462727,2026-06-10T21-45-41-549Z,yjs-map-conflict-detection-pi-2026-06-10T21-45-41-549Z-2
