evidenceRole,cohortId,benchmarkId,variant,provider,model,felanVersion,cases,trials,aggregation,headlineEstimator,metric,goal,baselineValue,candidateValue,changePercent,gainPercent,aggregateBaselineValue,aggregateCandidateValue,aggregateChangePercent,aggregateGainPercent,macroMeanBaselineValue,macroMeanCandidateValue,macroMeanChangePercent,macroMeanGainPercent,macroMinGainPercent,macroMaxGainPercent,macroMeanCaseGainPercent,macroMinCaseGainPercent,macroMaxCaseGainPercent,baselinePassed,baselineRuns,candidatePassed,candidateRuns,status,source,qualityBaselinePassRate,qualityCandidatePassRate,qualityChangePercentagePoints,minGainPercent,maxGainPercent
primary,local-subagents,subagents,Subagents organic exploration,openai-codex,gpt-5.6-sol,0.21.1,1,3,median trials; ratio of reduced case sums,ratioOfReducedSums,cost.total,minimize,1.2856670000000001,0.9811268400000001,-23.68732805617629,23.68732805617629,1.2856670000000001,0.9811268400000001,-23.68732805617629,23.68732805617629,1.2856670000000001,0.9811268400000001,-23.68732805617629,23.68732805617629,23.68732805617629,23.68732805617629,23.68732805617629,23.68732805617629,23.68732805617629,3,3,3,3,recalculated,sources/provenance/subagents-cost-recalculation.json,1.0,1.0,0.0,23.68732805617629,23.68732805617629
primary,local-markitdown-cost,markitdown-cost,MarkItDown conversion,openai-codex,gpt-5.6-terra,0.19.0,4,3,median trials; ratio of reduced case sums,ratioOfReducedSums,cost.total,minimize,0.05549319999999999,0.0382732,-31.030829002472366,31.030829002472366,0.05549319999999999,0.0382732,-31.030829002472366,31.030829002472366,0.013873299999999998,0.0095683,-31.763528811240008,31.763528811240008,18.485677936697634,47.760325770796975,31.763528811240008,18.485677936697634,47.760325770796975,12,12,12,12,eligible,benchmarks/markitdown-cost/results.json,1.0,1.0,0.0,18.485677936697634,47.760325770796975
primary,local-markitdown-cost,markitdown-cost,MarkItDown conversion,openai-codex,gpt-5.6-terra,0.19.0,4,3,median trials; ratio of reduced case sums,ratioOfReducedSums,usage.promptTokens,minimize,21569,18603,-13.751217024433215,13.751217024433215,21569,18603,-13.751217024433215,13.751217024433215,5392.25,4650.75,-14.854257660239346,14.854257660239346,-6.4,32.65392781316348,14.854257660239346,-6.4,32.65392781316348,12,12,12,12,eligible,benchmarks/markitdown-cost/results.json,1.0,1.0,0.0,-6.4,32.65392781316348
primary,local-output-style-concise,output-style-concise,Concise output style,openai-codex,gpt-5.6-sol,0.20.2,3,3,median trials; ratio of reduced case sums,ratioOfReducedSums,cost.total,minimize,0.229548,0.196258,-14.502413438583659,14.502413438583659,0.229548,0.196258,-14.502413438583659,14.502413438583659,0.076516,0.06541933333333333,-14.890486501973443,14.890486501973443,6.985581490433768,19.557637499242023,14.890486501973443,6.985581490433768,19.557637499242023,9,9,9,9,eligible,benchmarks/output-style-concise/results.json,1.0,1.0,0.0,6.985581490433768,19.557637499242023
primary,local-output-style-concise,output-style-concise,Concise output style,openai-codex,gpt-5.6-sol,0.20.2,3,3,median trials; ratio of reduced case sums,ratioOfReducedSums,usage.outputTokens,minimize,4187,3500,-16.40792930499164,16.40792930499164,4187,3500,-16.40792930499164,16.40792930499164,1395.6666666666667,1166.6666666666667,-15.981398627528208,15.981398627528208,12.088974854932303,21.218074656188605,15.981398627528208,12.088974854932303,21.218074656188605,9,9,9,9,eligible,benchmarks/output-style-concise/results.json,1.0,1.0,0.0,12.088974854932303,21.218074656188605
primary,local-prewalk,prewalk,Prewalk organic routing cost,openai-codex,gpt-5.6-sol,0.20.2,2,3,median trials; ratio of reduced case sums,ratioOfReducedSums,cost.total,minimize,8.524249999999999,2.899686,-65.98309528697538,65.98309528697538,8.524249999999999,2.899686,-65.98309528697538,65.98309528697538,4.262124999999999,1.449843,-57.56549245867434,57.56549245867434,43.50744763963154,71.62353727771713,57.56549245867434,43.50744763963154,71.62353727771713,6,6,6,6,eligible,benchmarks/prewalk/results.json,1.0,1.0,0.0,43.50744763963154,71.62353727771713
primary,local-rtk,rtk,RTK context reduction,openai-codex,gpt-5.6-sol,0.20.0,2,3,median trials; ratio of reduced case sums,ratioOfReducedSums,cost.total,minimize,6.259808999999999,4.596907000000001,-26.564740234086987,26.564740234086987,6.259808999999999,4.596907000000001,-26.564740234086987,26.564740234086987,3.1299044999999994,2.2984535000000004,-24.12217601810633,24.12217601810633,15.397141844201368,32.84721019201129,24.12217601810633,15.397141844201368,32.84721019201129,6,6,5,6,eligible-with-failure,benchmarks/rtk/results.json,1.0,0.8333333333333334,-16.666666666666664,15.397141844201368,32.84721019201129
primary,local-rtk,rtk,RTK context reduction,openai-codex,gpt-5.6-sol,0.20.0,2,3,median trials; ratio of reduced case sums,ratioOfReducedSums,usage.promptTokens,minimize,7240443,4302107,-40.582268239664344,40.582268239664344,7240443,4302107,-40.582268239664344,40.582268239664344,3620221.5,2151053.5,-34.42765636669536,34.42765636669536,21.345442121159167,47.50987061223156,34.42765636669536,21.345442121159167,47.50987061223156,6,6,5,6,eligible-with-failure,benchmarks/rtk/results.json,1.0,0.8333333333333334,-16.666666666666664,21.345442121159167,47.50987061223156
primary,local-codebase-memory,codebase-memory,Codebase Memory retrieval cost,openai-codex,gpt-5.6-sol,0.23.2,3,3,median trials; ratio of reduced case sums,ratioOfReducedSums,cost.total,minimize,1.9090473333333333,1.3785803333333333,-11.269148006055824,11.269148006055824,5.727142,4.135741,-27.78700091598915,27.78700091598915,1.9090473333333333,1.3785803333333333,-11.269148006055824,11.269148006055824,-7.566568913100557,42.405964690752015,11.269148006055824,-7.566568913100557,42.405964690752015,9,9,9,9,eligible,benchmarks/codebase-memory/results.json,1.0,1.0,0.0,-7.566568913100557,42.405964690752015
primary,local-codebase-memory,codebase-memory,Codebase Memory retrieval cost,openai-codex,gpt-5.6-sol,0.23.2,3,3,median trials; ratio of reduced case sums,ratioOfReducedSums,duration.stepsMs,minimize,389094,358906.3333333333,-7.722228120587097,7.722228120587097,1167282,1076719,-7.758450828505879,7.758450828505879,389094,358906.3333333333,-7.722228120587097,7.722228120587097,-4.424578138032808,19.136747277736475,7.722228120587097,-4.424578138032808,19.136747277736475,9,9,9,9,eligible,benchmarks/codebase-memory/results.json,1.0,1.0,0.0,-4.424578138032808,19.136747277736475
